EPOCH__yyyy-mm-ddThh:mm:ss.sssZ,<|B|>__nT,BX_(GSM)_(@_x_component_)_nT,BY_(GSM)_(@_y_component_)_nT,BZ_(GSM)_(@_z_component_)_nT
2000-11-19T00:00:03.000Z,7.78900,-4.70000,3.97700,-4.75000
2000-11-19T00:00:19.000Z,7.92700,-4.99700,4.51700,-4.16700
2000-11-19T00:00:35.000Z,7.89500,-4.85800,4.28400,-4.50700
2000-11-19T00:00:51.000Z,7.87100,-4.78100,3.86100,-4.89200
2000-11-19T00:01:07.000Z,7.81500,-4.60800,4.50700,-4.30200
2000-11-19T00:01:23.000Z,7.83700,-4.31400,5.13200,-4.04000
2000-11-19T00:01:39.000Z,7.80900,-4.50600,4.72000,-4.28300
2000-11-19T00:01:55.000Z,7.80400,-4.50400,4.93600,-3.99300
2000-11-19T00:02:11.000Z,7.89200,-4.85000,4.03900,-4.71500
2000-11-19T00:02:27.000Z,7.87900,-5.38100,3.35800,-4.63500
2000-11-19T00:02:43.000Z,7.83900,-5.48200,2.33700,-5.06000
2000-11-19T00:02:59.000Z,7.94400,-5.39800,2.00900,-5.45100
2000-11-19T00:03:15.000Z,7.93400,-5.35200,1.48100,-5.65800
2000-11-19T00:03:31.000Z,7.92800,-5.22700,3.12800,-5.04000
2000-11-19T00:03:47.000Z,7.94000,-5.02600,4.19800,-4.46500
2000-11-19T00:04:03.000Z,7.92000,-3.76000,6.13900,-2.93900
2000-11-19T00:04:19.000Z,7.98900,-1.21200,7.81000,0.458000
2000-11-19T00:04:35.000Z,7.96200,-0.326000,7.88400,0.950000
2000-11-19T00:04:51.000Z,8.06100,-0.475000,7.95400,1.14400
2000-11-19T00:05:07.000Z,8.11600,0.0160000,7.90800,1.80900
2000-11-19T00:05:23.000Z,8.10100,0.00000,7.86400,1.93100
2000-11-19T00:05:39.000Z,8.09500,0.321000,7.83200,1.99200
2000-11-19T00:05:55.000Z,8.11300,0.573000,7.78700,2.16600
2000-11-19T00:06:11.000Z,8.13900,0.104000,7.92000,1.85300
2000-11-19T00:06:27.000Z,8.06900,0.0270000,7.91100,1.47400
