EPOCH_yyyy-mm-ddThh:mm:ss.sssZ,H_DENSITY_#/cc,SW_H_SPEED_km/s,H_TEMP_RADIAL_Kelvin,VX_(GSM)_km/s,VY_(GSM)_km/s,VZ_(GSM)_km/s
2000-11-19T00:00:51.000Z,6.51250,371.520,77070.0,-370.363,18.5130,21.4450
2000-11-19T00:01:55.000Z,6.58880,373.800,73988.0,-372.816,15.4500,20.9440
2000-11-19T00:02:59.000Z,7.15090,-1.00000e+31,81240.2,-1.00000e+31,-1.00000e+31,-1.00000e+31
2000-11-19T00:04:03.000Z,-1.00000e+31,-1.00000e+31,-1.00000e+31,-1.00000e+31,-1.00000e+31,-1.00000e+31
2000-11-19T00:05:07.000Z,5.19750,394.550,73108.5,-394.141,-16.2240,-9.96900
2000-11-19T00:06:11.000Z,4.94550,395.710,68801.9,-395.378,-15.2420,-7.74300
2000-11-19T00:07:15.000Z,4.91600,392.040,74651.6,-391.795,-14.0770,-3.76600
2000-11-19T00:08:19.000Z,4.90450,390.110,72862.5,-389.940,-12.0580,-2.26000
2000-11-19T00:09:23.000Z,4.99760,385.140,74359.2,-384.889,-14.4640,-3.29900
2000-11-19T00:10:27.000Z,4.96170,386.030,69424.2,-385.895,-10.9960,-1.44700
2000-11-19T00:11:31.000Z,4.99230,381.950,59046.3,-381.902,-6.43100,1.70700
2000-11-19T00:12:35.000Z,5.24270,394.410,72320.8,-394.253,-7.65600,7.95000
2000-11-19T00:13:39.000Z,5.47590,385.150,82122.7,-385.027,-10.0520,-3.35400
2000-11-19T00:14:43.000Z,4.46180,388.550,61307.3,-388.432,-10.2490,-2.65100
2000-11-19T00:15:47.000Z,5.43640,377.280,71740.8,-377.243,-5.92900,0.911000
2000-11-19T00:16:51.000Z,5.13100,383.140,59102.7,-383.045,-9.25600,-2.70200
2000-11-19T00:17:55.000Z,5.23420,379.840,60408.6,-379.822,-2.51800,1.60100
2000-11-19T00:18:59.000Z,5.16050,380.070,61019.7,-380.005,-7.44800,-1.95500
2000-11-19T00:20:03.000Z,4.61000,385.160,51130.7,-385.138,-4.94500,-2.70000
2000-11-19T00:21:07.000Z,5.45390,387.040,57535.3,-387.004,-5.96100,-1.73000
2000-11-19T00:22:11.000Z,6.07770,385.030,62926.3,-384.861,-9.91200,-7.78100
2000-11-19T00:23:15.000Z,5.26890,389.730,56014.4,-389.671,-6.10500,-5.41200
2000-11-19T00:24:19.000Z,5.44880,386.800,59396.0,-386.767,-5.07700,-3.17900
2000-11-19T00:25:23.000Z,5.23060,386.100,58441.5,-386.037,-7.89700,-1.68700
2000-11-19T00:26:27.000Z,5.15240,389.380,61303.6,-389.282,-9.39600,-3.37300
2000-11-19T00:27:31.000Z,5.74310,382.880,55536.1,-382.792,-7.81500,-5.16900
2000-11-19T00:28:35.000Z,5.17120,389.200,53817.1,-389.195,-2.55400,-1.38100
2000-11-19T00:29:39.000Z,5.18540,394.510,58925.4,-394.463,-7.18400,-0.699000
2000-11-19T00:30:43.000Z,5.08360,389.790,55736.7,-389.771,-3.87900,0.901000
2000-11-19T00:31:47.000Z,5.55020,383.150,64007.7,-383.084,-7.70000,-3.14900
2000-11-19T00:32:51.000Z,5.31760,385.610,53870.9,-385.597,-4.41700,-0.824000
2000-11-19T00:33:55.000Z,5.90570,384.720,56646.9,-384.647,-7.59600,-4.19500
2000-11-19T00:34:59.000Z,4.69090,382.690,48059.9,-382.572,-5.09000,-9.73300
2000-11-19T00:36:03.000Z,5.54710,383.130,62966.9,-383.107,-2.90900,2.13500
2000-11-19T00:37:07.000Z,-1.00000e+31,-1.00000e+31,-1.00000e+31,-1.00000e+31,-1.00000e+31,-1.00000e+31
2000-11-19T00:38:11.000Z,5.41850,390.290,55278.6,-390.284,0.300000,1.36400
2000-11-19T00:39:15.000Z,5.24630,384.740,52962.3,-384.737,0.799000,-1.38000
2000-11-19T00:40:19.000Z,5.70160,389.090,65942.9,-389.087,-2.01700,0.769000
2000-11-19T00:41:23.000Z,5.99880,373.800,56037.8,-373.694,-3.38800,-9.62000
2000-11-19T00:42:27.000Z,5.43780,380.100,56071.6,-379.920,-5.37100,-12.0410
2000-11-19T00:43:31.000Z,5.76200,375.710,55151.0,-375.505,-5.60000,-12.6120
2000-11-19T00:44:35.000Z,5.45990,375.890,54925.7,-375.748,-2.55400,-11.4120
2000-11-19T00:45:39.000Z,5.80670,377.070,61950.0,-376.911,-5.02500,-11.3860
2000-11-19T00:46:43.000Z,5.85590,373.940,58633.7,-373.665,-6.65900,-14.5420
2000-11-19T00:47:47.000Z,5.46530,375.930,62925.6,-375.570,-9.62000,-15.1930
2000-11-19T00:48:51.000Z,5.49380,375.500,60802.4,-375.200,-8.33700,-14.2690
2000-11-19T00:49:55.000Z,4.96460,373.630,54274.0,-373.212,-12.6850,-14.6720
2000-11-19T00:50:59.000Z,5.68310,380.180,62999.6,-379.944,-11.1540,-10.2690
2000-11-19T00:52:03.000Z,5.06030,378.320,68715.0,-378.043,-13.8830,-8.04000
2000-11-19T00:53:07.000Z,5.72150,372.610,65118.6,-371.874,-9.38100,-23.1730
2000-11-19T00:54:11.000Z,5.50410,371.990,69430.9,-371.261,-7.57000,-23.7750
2000-11-19T00:55:15.000Z,4.98630,362.210,61422.1,-361.236,-0.735000,-27.8590
2000-11-19T00:56:19.000Z,4.93950,363.980,56364.5,-363.522,-9.21600,-17.6160
2000-11-19T00:57:23.000Z,5.51230,362.700,66508.5,-362.296,-4.63600,-18.0830
2000-11-19T00:58:27.000Z,4.99300,356.020,63704.0,-355.346,7.95500,-21.3740
2000-11-19T00:59:31.000Z,5.46460,359.280,72938.8,-358.489,1.64300,-25.0570
2000-11-19T01:00:35.000Z,5.15800,362.020,57499.7,-361.133,-0.618000,-26.7740
2000-11-19T01:01:39.000Z,5.09420,364.800,50971.4,-363.506,2.00900,-31.9050
2000-11-19T01:02:43.000Z,5.06170,365.250,58469.0,-364.621,-6.08800,-22.3360
2000-11-19T01:03:47.000Z,5.21010,367.430,66436.0,-366.951,-8.05300,-18.7850
2000-11-19T01:04:51.000Z,4.78560,369.530,61446.7,-368.840,-12.9860,-20.7040
2000-11-19T01:05:55.000Z,5.04430,373.200,64236.7,-372.588,-15.1180,-17.6780
2000-11-19T01:06:59.000Z,4.87470,370.670,52208.1,-369.693,-4.52600,-28.1540
2000-11-19T01:08:03.000Z,5.55720,372.100,60895.4,-371.171,-5.90200,-27.2730
2000-11-19T01:09:07.000Z,5.13230,364.690,53890.7,-363.663,-2.62700,-28.8160
2000-11-19T01:10:11.000Z,-1.00000e+31,-1.00000e+31,-1.00000e+31,-1.00000e+31,-1.00000e+31,-1.00000e+31
2000-11-19T01:11:15.000Z,5.63890,370.920,60923.9,-369.764,-5.94100,-30.4440
2000-11-19T01:12:19.000Z,5.42640,373.700,59032.7,-372.485,-9.74500,-30.4160
2000-11-19T01:13:23.000Z,4.77430,376.730,53618.4,-375.213,-1.11500,-35.3440
2000-11-19T01:14:27.000Z,4.98480,365.550,69270.3,-365.452,4.62000,-7.54500
2000-11-19T01:15:31.000Z,5.18580,361.500,72160.6,-361.359,7.79500,2.73100
2000-11-19T01:16:35.000Z,4.94530,361.750,80723.8,-361.376,15.1270,0.110000
2000-11-19T01:17:39.000Z,5.31900,364.360,76467.9,-364.191,9.84500,-1.38400
2000-11-19T01:18:43.000Z,5.34830,362.670,68605.2,-362.629,3.13600,-4.20800
2000-11-19T01:19:47.000Z,5.44550,364.640,77015.4,-364.568,5.93500,-0.0480000
2000-11-19T01:20:51.000Z,5.04190,361.880,70474.6,-361.834,4.48200,-3.14800
2000-11-19T01:21:55.000Z,5.18850,358.970,71747.4,-358.927,3.18200,-4.51200
2000-11-19T01:22:59.000Z,4.96920,362.400,68684.0,-362.368,1.88400,1.51000
2000-11-19T01:24:03.000Z,5.11150,362.700,78034.6,-362.646,5.11400,-2.62600
2000-11-19T01:25:07.000Z,5.33140,361.920,76508.8,-361.771,6.58800,5.02100
2000-11-19T01:26:11.000Z,4.88200,367.830,65463.7,-367.821,-2.63900,-3.15000
2000-11-19T01:27:15.000Z,5.10510,360.030,79621.9,-359.819,5.57600,-11.6460
2000-11-19T01:28:19.000Z,5.00730,361.970,71068.8,-361.797,0.895000,-12.7440
2000-11-19T01:29:23.000Z,5.71450,361.480,79014.0,-361.005,5.71800,-18.7230
2000-11-19T01:30:27.000Z,5.25170,362.360,74027.0,-361.493,4.84300,-25.9780
2000-11-19T01:31:31.000Z,5.27260,363.070,76541.7,-362.539,4.86800,-20.2000
2000-11-19T01:32:35.000Z,5.05750,363.850,60194.1,-363.491,-4.07900,-17.6860
2000-11-19T01:33:39.000Z,4.92110,361.830,62703.1,-361.760,0.256000,-8.67800
2000-11-19T01:34:43.000Z,5.06090,363.950,69905.8,-363.899,-2.00700,-7.93300
2000-11-19T01:35:47.000Z,5.48480,363.500,73129.9,-363.392,7.07700,1.20300
2000-11-19T01:36:51.000Z,5.05570,361.560,67481.0,-361.537,-0.358000,-5.38700
2000-11-19T01:37:55.000Z,5.43420,363.170,68448.3,-363.162,-0.634000,-0.574000
2000-11-19T01:38:59.000Z,5.16320,358.260,69995.2,-358.184,5.70600,-4.04100
2000-11-19T01:40:03.000Z,5.12510,357.750,69011.6,-357.542,2.87800,-13.0310
2000-11-19T01:41:07.000Z,5.78490,360.890,81399.4,-360.677,4.43200,-12.5700
2000-11-19T01:42:11.000Z,5.12130,362.900,73079.9,-362.681,2.25800,-13.7180
2000-11-19T01:43:15.000Z,-1.00000e+31,-1.00000e+31,-1.00000e+31,-1.00000e+31,-1.00000e+31,-1.00000e+31
2000-11-19T01:44:19.000Z,6.26270,373.200,115466.,-371.965,18.5970,-24.5370
2000-11-19T01:45:23.000Z,6.32780,370.750,104073.,-369.601,18.3490,-23.1160
2000-11-19T01:46:27.000Z,6.76800,371.920,113452.,-370.820,21.0820,-19.3660
2000-11-19T01:47:31.000Z,6.70670,375.730,119220.,-374.879,19.2700,-16.0880
2000-11-19T01:48:35.000Z,6.90230,375.270,117229.,-374.160,21.2560,-19.5370
2000-11-19T01:49:39.000Z,6.88910,373.810,109694.,-372.631,22.3010,-19.3640
2000-11-19T01:50:43.000Z,6.64890,373.380,120572.,-372.256,22.8970,-17.2390
2000-11-19T01:51:47.000Z,6.63150,372.450,106416.,-371.437,19.4420,-19.4970
2000-11-19T01:52:51.000Z,6.57880,375.500,111199.,-374.033,22.6900,-24.4140
2000-11-19T01:53:55.000Z,6.15390,371.310,130268.,-370.184,22.3630,-17.9510
2000-11-19T01:54:59.000Z,6.15510,372.330,125775.,-371.400,20.6490,-15.8670
2000-11-19T01:56:03.000Z,6.17800,369.810,113712.,-369.099,18.2200,-13.4250
2000-11-19T01:57:07.000Z,6.33210,372.240,111887.,-371.621,17.3070,-11.8710
2000-11-19T01:58:11.000Z,6.14370,371.830,98810.9,-371.459,14.8940,-3.98000
2000-11-19T01:59:15.000Z,6.11240,373.200,98120.5,-372.893,13.2320,-4.83900
2000-11-19T02:00:19.000Z,5.89240,375.690,88419.4,-375.378,13.6590,-2.84900
2000-11-19T02:01:23.000Z,6.28880,375.930,107386.,-375.269,20.2130,-5.79600
2000-11-19T02:02:27.000Z,6.17640,366.760,133333.,-364.882,30.1340,-20.9580
2000-11-19T02:03:31.000Z,6.29090,367.280,127089.,-366.062,23.5510,-17.9880
2000-11-19T02:04:35.000Z,6.28740,368.860,125575.,-367.856,17.9000,-20.7280
2000-11-19T02:05:39.000Z,6.41250,377.170,115353.,-376.307,23.5610,-4.87900
2000-11-19T02:06:43.000Z,7.18050,380.340,102518.,-380.064,12.2220,-5.50800
2000-11-19T02:07:47.000Z,7.05710,377.310,118133.,-376.595,21.4290,-4.51600
2000-11-19T02:08:51.000Z,7.29800,390.180,90239.8,-389.853,12.0450,6.35100
2000-11-19T02:09:55.000Z,6.69600,379.000,104050.,-378.443,18.8420,-1.17900
2000-11-19T02:10:59.000Z,6.60200,387.140,86225.2,-386.772,15.0060,-0.190000
2000-11-19T02:12:03.000Z,6.84350,380.770,97485.1,-380.075,21.2550,-2.51300
2000-11-19T02:13:07.000Z,7.09080,381.310,96647.2,-380.542,22.2680,0.950000
2000-11-19T02:14:11.000Z,6.82190,380.370,100657.,-379.654,21.4870,-2.52100
2000-11-19T02:15:15.000Z,6.51960,380.240,101526.,-379.719,18.1760,-2.28400
2000-11-19T02:16:19.000Z,-1.00000e+31,-1.00000e+31,-1.00000e+31,-1.00000e+31,-1.00000e+31,-1.00000e+31
2000-11-19T02:17:23.000Z,7.04970,381.830,99878.7,-380.403,31.1810,-1.55200
2000-11-19T02:18:27.000Z,6.99040,380.010,107050.,-378.796,28.4680,0.00500000
2000-11-19T02:19:31.000Z,7.19660,380.580,128160.,-378.680,36.1190,-4.03600
2000-11-19T02:20:35.000Z,7.06980,382.920,97976.7,-381.413,31.6520,3.80200
2000-11-19T02:21:39.000Z,7.65640,380.850,84783.0,-378.694,37.6500,6.87600
2000-11-19T02:22:43.000Z,7.50210,371.260,100983.,-369.547,33.7700,-1.45500
2000-11-19T02:23:47.000Z,7.33050,378.200,76345.3,-375.107,45.8310,5.52400
2000-11-19T02:24:51.000Z,6.92380,377.740,84052.4,-375.130,41.6980,6.28800
2000-11-19T02:25:55.000Z,6.58690,381.370,90037.0,-378.222,46.4660,5.52100
2000-11-19T02:26:59.000Z,7.04240,374.250,90598.0,-372.082,37.7280,4.79800
2000-11-19T02:28:03.000Z,7.53740,375.450,91491.3,-373.296,37.8120,3.81600
2000-11-19T02:29:07.000Z,6.89400,372.230,91100.0,-370.106,37.7610,-0.674000
2000-11-19T02:30:11.000Z,7.13060,372.510,91962.0,-370.289,38.5140,2.23900
2000-11-19T02:31:15.000Z,6.74340,376.250,92444.9,-373.141,46.1990,1.46000
2000-11-19T02:32:19.000Z,7.72710,376.400,107738.,-373.691,43.1550,-0.774000
2000-11-19T02:33:23.000Z,6.84060,377.210,111596.,-374.380,44.2140,-3.06800
2000-11-19T02:34:27.000Z,6.98410,374.770,106353.,-372.281,41.1500,-0.104000
2000-11-19T02:35:31.000Z,6.87480,384.790,98771.3,-381.382,48.6680,-9.11000
2000-11-19T02:36:35.000Z,6.96530,388.210,94758.6,-384.360,51.7470,-11.6730
2000-11-19T02:37:39.000Z,6.38370,386.040,95610.8,-382.954,46.2720,-8.82700
2000-11-19T02:38:43.000Z,7.31590,385.700,120767.,-380.794,59.0980,-7.60900
2000-11-19T02:39:47.000Z,5.28300,374.390,83044.6,-374.172,-5.01800,-14.6400
2000-11-19T02:40:51.000Z,4.95240,374.250,68734.6,-374.083,-10.8170,-8.88200
2000-11-19T02:41:55.000Z,5.04160,375.050,65570.0,-374.959,-7.46400,-8.28200
2000-11-19T02:42:59.000Z,6.19470,376.030,92518.4,-375.981,-7.66800,-4.84200
2000-11-19T02:44:03.000Z,5.85920,381.630,93282.6,-381.611,-2.70400,-5.40300
2000-11-19T02:45:07.000Z,5.83250,385.670,94125.7,-385.641,1.55000,-5.25100
2000-11-19T02:46:11.000Z,5.79870,367.170,80419.4,-367.121,3.74400,-0.949000
2000-11-19T02:47:15.000Z,6.13900,385.230,111530.,-384.953,-16.5120,-2.42500
2000-11-19T02:48:19.000Z,5.03470,400.300,91571.7,-400.132,-13.6140,-0.390000
2000-11-19T02:49:23.000Z,-1.00000e+31,-1.00000e+31,-1.00000e+31,-1.00000e+31,-1.00000e+31,-1.00000e+31
