UT__yyyy-mm-ddThh:mm:ss.sssZ,FGS-D_B_TOTAL__nT_(All_Qs),BX_FGS-D_(@_1_)_nT_GSM_(All_Qs),BY_FGS-D_(@_2_)_nT_GSM_(All_Qs),BZ_FGS-D_(@_3_)_nT_GSM_(All_Qs)
2009-07-04T15:20:00.742Z,4.89998,2.11882,-4.41675,-0.113048
2009-07-04T15:20:03.710Z,4.72314,1.85818,-4.34128,-0.0920579
2009-07-04T15:20:06.678Z,4.73861,1.70746,-4.42009,-0.0424505
2009-07-04T15:20:09.645Z,4.79453,1.52156,-4.54228,0.200215
2009-07-04T15:20:12.613Z,4.68138,1.61906,-4.39134,0.100469
2009-07-04T15:20:15.581Z,4.76764,1.52512,-4.51281,0.197380
2009-07-04T15:20:18.549Z,4.85531,1.57834,-4.58496,0.246990
2009-07-04T15:20:21.517Z,4.81082,1.64798,-4.51924,0.0678080
2009-07-04T15:20:24.485Z,4.86818,1.61690,-4.59102,-0.0859398
2009-07-04T15:20:27.453Z,4.93596,1.66916,-4.64436,-0.0865749
2009-07-04T15:20:30.420Z,4.84799,1.67294,-4.54662,-0.180385
2009-07-04T15:20:33.388Z,4.82857,1.85448,-4.45697,-0.106972
2009-07-04T15:20:36.356Z,4.83866,1.84971,-4.47114,-0.00980711
2009-07-04T15:20:39.324Z,4.84676,1.81269,-4.49496,-0.0242118
2009-07-04T15:20:42.292Z,4.78950,1.81808,-4.43101,0.00617778
2009-07-04T15:20:45.260Z,4.76849,1.76095,-4.43129,0.0352764
2009-07-04T15:20:48.228Z,4.87579,2.03663,-4.42910,0.0925562
2009-07-04T15:20:51.196Z,4.91726,1.89232,-4.53818,-0.0592567
2009-07-04T15:20:54.163Z,4.78140,1.99761,-4.34319,-0.0898944
2009-07-04T15:20:57.131Z,4.65618,1.83073,-4.27924,-0.128708
2009-07-04T15:21:00.099Z,4.78086,1.90979,-4.37956,-0.169749
2009-07-04T15:21:03.067Z,4.78086,1.80885,-4.41966,-0.226534
2009-07-04T15:21:06.035Z,4.64128,1.77933,-4.28414,-0.147054
2009-07-04T15:21:09.003Z,4.70188,1.86343,-4.30931,-0.255182
2009-07-04T15:21:11.971Z,4.85624,1.99081,-4.41651,-0.337950
2009-07-04T15:21:14.939Z,4.70151,1.96032,-4.26217,-0.308675
2009-07-04T15:21:17.906Z,4.73994,2.00929,-4.28407,-0.276613
2009-07-04T15:21:20.874Z,4.73418,2.01667,-4.27571,-0.252570
2009-07-04T15:21:23.842Z,4.74346,1.93977,-4.32103,-0.257665
2009-07-04T15:21:26.810Z,4.69591,1.87082,-4.30090,-0.231995
2009-07-04T15:21:29.778Z,4.71233,1.88090,-4.31635,-0.193235
2009-07-04T15:21:32.746Z,4.73390,1.80322,-4.37556,-0.112621
2009-07-04T15:21:35.714Z,4.71295,1.65284,-4.41141,-0.139654
2009-07-04T15:21:38.682Z,4.78777,1.75615,-4.44862,-0.220152
2009-07-04T15:21:41.649Z,4.66475,1.56160,-4.39099,-0.201354
2009-07-04T15:21:44.617Z,4.78102,1.57788,-4.50488,-0.272903
2009-07-04T15:21:47.585Z,4.70039,1.82832,-4.31643,-0.345426
2009-07-04T15:21:50.553Z,4.76509,1.95266,-4.33126,-0.365221
2009-07-04T15:21:53.521Z,4.80268,1.83087,-4.42644,-0.346814
2009-07-04T15:21:56.489Z,4.80579,1.73507,-4.46347,-0.403300
2009-07-04T15:21:59.457Z,4.75515,1.76813,-4.39317,-0.430420
2009-07-04T15:22:02.425Z,4.90139,1.53716,-4.64433,-0.301562
2009-07-04T15:22:05.392Z,4.81619,1.40142,-4.58387,-0.468908
2009-07-04T15:22:08.360Z,4.72370,1.77069,-4.33729,-0.604959
2009-07-04T15:22:11.328Z,4.89109,1.79045,-4.51534,-0.573373
2009-07-04T15:22:14.296Z,4.84728,1.67762,-4.51711,-0.526783
2009-07-04T15:22:17.264Z,4.88631,1.65784,-4.56209,-0.561195
2009-07-04T15:22:20.232Z,4.81781,1.66592,-4.46762,-0.690196
2009-07-04T15:22:23.200Z,4.85145,1.73605,-4.49253,-0.582911
2009-07-04T15:22:26.168Z,4.87695,1.70434,-4.54612,-0.461111
2009-07-04T15:22:29.135Z,4.81005,2.14954,-4.25872,-0.615932
2009-07-04T15:22:32.103Z,4.92302,2.18695,-4.34462,-0.760067
2009-07-04T15:22:35.071Z,4.91297,2.24767,-4.29133,-0.818328
2009-07-04T15:22:38.039Z,4.82103,2.29154,-4.14239,-0.912015
2009-07-04T15:22:41.007Z,4.80981,2.16775,-4.22088,-0.786941
2009-07-04T15:22:43.975Z,4.87438,2.06608,-4.33951,-0.812135
2009-07-04T15:22:46.943Z,4.89243,2.12147,-4.33422,-0.806079
2009-07-04T15:22:49.910Z,4.88688,2.30742,-4.16460,-1.10161
2009-07-04T15:22:52.878Z,4.82319,2.31058,-4.08251,-1.12137
2009-07-04T15:22:55.846Z,4.83155,2.09145,-4.27361,-0.840215
2009-07-04T15:22:58.814Z,4.85737,1.99452,-4.36766,-0.734529
2009-07-04T15:23:01.782Z,4.86720,2.26949,-4.17687,-1.04537
2009-07-04T15:23:04.750Z,4.89306,2.41762,-4.06841,-1.24304
2009-07-04T15:23:07.718Z,4.86543,2.44164,-4.05983,-1.10841
2009-07-04T15:23:10.686Z,4.85297,2.36563,-4.08114,-1.13989
2009-07-04T15:23:13.653Z,4.80615,2.52804,-3.96363,-0.998902
2009-07-04T15:23:16.621Z,4.89962,2.62418,-4.03399,-0.920275
2009-07-04T15:23:19.589Z,4.82823,2.66178,-3.87514,-1.10002
2009-07-04T15:23:22.557Z,4.78561,2.76218,-3.75719,-1.07517
2009-07-04T15:23:25.525Z,4.88760,2.77112,-3.88685,-1.04971
2009-07-04T15:23:28.493Z,4.85199,2.72889,-3.89589,-0.957622
2009-07-04T15:23:31.461Z,4.81277,2.30150,-4.13192,-0.890594
