UT__yyyy-mm-ddThh:mm:ss.sssZ,N_ION_MOM_ESA-B__cm^-3_(All_Qs),VX_ION_GSM_MOM_ESA-B_(@_1_)_km/s_(All_Qs),VY_ION_GSM_MOM_ESA-B_(@_2_)_km/s_(All_Qs),VZ_ION_GSM_MOM_ESA-B_(@_3_)_km/s_(All_Qs),TX_ION_FA_MOM_ESA-B_(@_1_)_eV_(All_Qs),TY_ION_FA_MOM_ESA-B_(@_2_)_eV_(All_Qs),TZ_ION_FA_MOM_ESA-B_(@_3_)_eV_(All_Qs)
2009-07-04T15:20:02.531Z,4.0277062,-342.07263,-2.6401325,-11.146525,36.748680,9.4116332,18.394863
2009-07-04T15:20:05.499Z,4.1863590,-341.32958,-2.8445169,-11.737612,41.919183,8.9691120,18.228580
2009-07-04T15:20:08.466Z,4.1073041,-344.72768,-4.8036488,-9.4859653,40.888211,9.6344722,18.378380
2009-07-04T15:20:11.434Z,4.0282427,-342.20290,-3.7401709,-10.323668,43.505398,8.7311420,18.175415
2009-07-04T15:20:14.402Z,4.1076690,-344.39697,-5.1132415,-10.176557,40.112085,9.5844022,18.529665
2009-07-04T15:20:17.370Z,4.0286001,-343.65151,-4.4446074,-9.4420481,41.082515,9.0249994,18.298205
2009-07-04T15:20:20.338Z,3.9495245,-343.03843,-3.2930180,-8.4691752,43.682254,9.0723385,18.043606
2009-07-04T15:20:23.306Z,4.0817967,-344.58268,-5.5656931,-10.563618,42.296609,9.3192682,17.908258
2009-07-04T15:20:26.274Z,4.0291366,-343.67236,-3.4801412,-11.896306,40.221268,8.9111991,17.427585
2009-07-04T15:20:29.242Z,3.8707853,-343.80757,-2.1020605,-11.276175,40.473427,9.2608138,18.221129
2009-07-04T15:20:32.209Z,4.0294944,-343.80839,-2.9388327,-11.453179,38.117854,9.9032128,19.475324
2009-07-04T15:20:35.177Z,4.0560972,-344.61850,-1.4595285,-11.004397,32.766733,9.0563986,16.876661
2009-07-04T15:20:38.145Z,4.0298522,-343.62539,-2.8994588,-10.750436,38.458672,9.3819479,18.853572
2009-07-04T15:20:41.113Z,4.0564574,-342.53016,-1.9053800,-10.682061,41.623484,9.4682652,19.306500
2009-07-04T15:20:44.081Z,4.0830648,-343.98582,-5.0085453,-10.505650,39.720639,9.3868241,18.889818
2009-07-04T15:20:47.049Z,4.0832463,-342.20296,-1.3713358,-9.8589355,37.239061,8.6580966,18.651070
2009-07-04T15:20:50.017Z,3.9512776,-342.37340,-2.6397957,-11.051707,39.827327,9.2320804,19.163790
2009-07-04T15:20:52.985Z,3.9514528,-343.60958,-0.47526667,-11.787733,35.195406,9.8608144,18.674714
2009-07-04T15:20:55.952Z,4.2159514,-341.45527,-3.9568427,-11.322932,43.066384,8.9960616,19.782210
2009-07-04T15:20:58.920Z,4.0575374,-342.88675,-4.6928923,-11.714350,39.907083,9.1004200,18.830409
