EPOCH__yyyy-mm-ddThh:mm:ss.sssZ,B__nT_(1min),BX_(GSM)_(@_x-component_)_nT_(1min),BY_(GSM)_(@_y-component_)_nT_(1min),BZ_(GSM)_(@_z-component_)_nT_(1min)
2014-02-18T14:00:30.000Z,3.92888,0.787134,-3.06972,-2.30243
2014-02-18T14:01:30.000Z,3.79459,1.01696,-3.11110,-1.76873
2014-02-18T14:02:30.000Z,3.79237,0.387399,-3.18350,-1.94336
2014-02-18T14:03:30.000Z,3.83240,0.585488,-2.93761,-2.37654
2014-02-18T14:04:30.000Z,3.77530,0.403609,-3.00179,-2.25254
2014-02-18T14:05:30.000Z,3.71859,0.562408,-2.85672,-2.31219
2014-02-18T14:06:30.000Z,3.64349,0.521667,-2.57966,-2.48485
2014-02-18T14:07:30.000Z,3.58524,0.666453,-2.16772,-2.61982
2014-02-18T14:08:30.000Z,3.70327,0.773707,-2.41321,-2.68872
2014-02-18T14:09:30.000Z,3.55114,0.438084,-2.70891,-2.19893
2014-02-18T14:10:30.000Z,3.45766,0.838956,-2.19729,-2.51916
2014-02-18T14:11:30.000Z,3.50599,0.568313,-1.93890,-2.79704
2014-02-18T14:12:30.000Z,3.63401,0.283792,-1.02987,-3.42171
2014-02-18T14:13:30.000Z,3.95809,-0.404666,-0.297541,-3.91419
2014-02-18T14:14:30.000Z,3.63458,-0.830253,-0.140491,-3.51207
2014-02-18T14:15:30.000Z,3.62710,-0.337579,-0.560765,-3.55265
2014-02-18T14:16:30.000Z,3.58358,-0.0827402,-0.511017,-3.46634
2014-02-18T14:17:30.000Z,3.97904,1.34814,-2.43111,-2.54227
2014-02-18T14:18:30.000Z,4.05459,1.59460,-2.97748,-2.15244
2014-02-18T14:19:30.000Z,4.12433,1.01276,-2.60558,-3.01576
2014-02-18T14:20:30.000Z,4.17415,1.59936,-3.26513,-2.04105
2014-02-18T14:21:30.000Z,4.14544,1.55804,-3.38451,-1.80247
2014-02-18T14:22:30.000Z,4.03519,1.14281,-3.16980,-2.20617
2014-02-18T14:23:30.000Z,3.73202,0.750420,-2.57493,-2.58074
2014-02-18T14:24:30.000Z,3.71595,0.823756,-2.57403,-2.47434
2014-02-18T14:25:30.000Z,3.85837,0.730891,-2.47564,-2.79669
2014-02-18T14:26:30.000Z,3.97046,0.637546,-2.94596,-2.51743
2014-02-18T14:27:30.000Z,4.24463,0.733842,-3.07755,-2.73715
2014-02-18T14:28:30.000Z,4.39053,0.233994,-3.39018,-2.71364
2014-02-18T14:29:30.000Z,4.47976,0.876576,-3.47705,-2.64020
2014-02-18T14:30:30.000Z,4.43535,0.951078,-3.36791,-2.66072
2014-02-18T14:31:30.000Z,4.39852,1.08162,-3.51607,-2.40832
2014-02-18T14:32:30.000Z,-1.00000e+31,-1.00000e+31,-1.00000e+31,-1.00000e+31
2014-02-18T14:33:30.000Z,4.26956,0.936001,-3.36268,-2.45270
2014-02-18T14:34:30.000Z,4.25803,0.837544,-3.21439,-2.66143
2014-02-18T14:35:30.000Z,4.40270,0.892236,-3.33294,-2.73344
2014-02-18T14:36:30.000Z,4.29209,0.995007,-3.14599,-2.74388
2014-02-18T14:37:30.000Z,4.55199,1.04242,-3.28228,-2.97326
2014-02-18T14:38:30.000Z,4.61243,0.745384,-3.24574,-3.18763
2014-02-18T14:39:30.000Z,4.60216,0.607183,-3.17520,-3.27197
2014-02-18T14:40:30.000Z,4.73283,0.673025,-3.20662,-3.39097
