EPOCH_yyyy-mm-ddThh:mm:ss.sssZ,ION_PRESSURE_nPa,DEL_TIME_ms
2014-02-18T14:01:07.632Z,3.15932,16252.169
2014-02-18T14:02:46.156Z,3.14923,16252.001
2014-02-18T14:04:08.612Z,-1.00000e+31,9999000.0
2014-02-18T14:05:40.612Z,-1.00000e+31,9999000.0
2014-02-18T14:10:55.687Z,3.20225,16252.001
2014-02-18T14:12:40.402Z,3.31875,6980.4868
2014-02-18T14:14:17.527Z,3.25582,14537.148
2014-02-18T14:15:52.964Z,3.34260,14537.000
2014-02-18T14:17:26.695Z,3.10995,16252.001
2014-02-18T14:19:05.218Z,3.20003,16252.169
2014-02-18T14:20:43.738Z,3.02876,16252.001
2014-02-18T14:22:22.261Z,3.26816,16252.001
2014-02-18T14:24:00.781Z,3.22271,16252.169
2014-02-18T14:25:39.304Z,3.15369,16251.967
2014-02-18T14:27:17.828Z,3.03745,16252.001
2014-02-18T14:29:00.968Z,3.08878,8555.0820
2014-02-18T14:30:12.612Z,-1.00000e+31,9999000.0
2014-02-18T14:31:44.611Z,-1.00000e+31,9999000.0
2014-02-18T14:33:56.531Z,2.89627,13137.100
2014-02-18T14:35:33.515Z,2.92342,16252.001
2014-02-18T14:37:12.035Z,2.92967,16252.140
2014-02-18T14:38:50.558Z,3.04109,16252.001
2014-02-18T14:40:30.621Z,2.60779,13137.100
2014-02-18T14:42:06.062Z,2.72876,13137.252
2014-02-18T14:43:44.621Z,2.17578,13172.198
2014-02-18T14:45:27.902Z,2.16735,6980.5005
2014-02-18T14:47:04.746Z,2.18525,13172.349
2014-02-18T14:48:40.187Z,2.10426,13172.198
2014-02-18T14:50:18.707Z,2.16658,13172.198
2014-02-18T14:51:57.230Z,2.19513,13172.324
2014-02-18T14:53:35.718Z,2.20092,13137.100
2014-02-18T14:53:32.640Z,2.20092,13137.101
2014-02-18T14:56:52.761Z,2.27181,13137.100
2014-02-18T14:58:31.281Z,2.22144,13137.100
2014-02-18T15:00:09.804Z,2.25296,13137.252
2014-02-18T15:01:53.089Z,2.10570,7015.5996
2014-02-18T15:03:29.960Z,1.92167,13172.171
2014-02-18T15:05:04.007Z,1.89533,16076.568
