EPOCH_yyyy-mm-ddThh:mm:ss.sssZ,ION_PRESSURE_nPa,DEL_TIME_ms
2014-02-13T23:00:16.874Z,0.843201,6980.5664
2014-02-13T23:02:02.234Z,0.819557,15534.499
2014-02-13T23:03:45.374Z,0.881697,13714.250
2014-02-13T23:05:18.632Z,0.890794,13173.199
2014-02-13T23:06:54.726Z,0.831333,15534.499
2014-02-13T23:08:34.859Z,0.840148,13714.148
2014-02-13T23:10:11.835Z,0.818688,15253.688
2014-02-13T23:11:52.687Z,0.758335,13138.101
2014-02-13T23:13:31.210Z,0.807459,13138.234
2014-02-13T23:15:07.335Z,0.800840,15534.499
2014-02-13T23:16:42.101Z,0.844905,6980.5664
2014-02-13T23:18:29.851Z,0.812696,13138.101
2014-02-13T23:20:02.898Z,0.761999,15534.668
2014-02-13T23:21:41.421Z,0.807001,15534.499
2014-02-13T23:23:20.015Z,0.847814,15253.549
2014-02-13T23:24:58.468Z,0.847765,15534.639
2014-02-13T23:26:38.531Z,0.874787,13995.099
2014-02-13T23:28:15.507Z,0.873635,15534.668
2014-02-13T23:29:55.218Z,0.805909,13845.250
2014-02-13T23:31:35.632Z,0.860957,15534.499
2014-02-13T23:33:10.398Z,0.965881,6980.5664
2014-02-13T23:34:55.757Z,0.829594,15534.499
2014-02-13T23:36:31.203Z,0.800720,15534.639
2014-02-13T23:38:09.789Z,0.902093,15253.549
2014-02-13T23:39:53.718Z,0.766759,16217.067
2014-02-13T23:41:32.921Z,0.878710,15534.501
2014-02-13T23:43:05.289Z,0.791515,15534.499
2014-02-13T23:44:43.812Z,0.910538,15534.668
2014-02-13T23:46:26.273Z,0.758154,14677.501
2014-02-13T23:48:00.171Z,0.814063,13138.234
2014-02-13T23:49:32.539Z,0.753917,6980.4995
2014-02-13T23:50:52.651Z,-1.00000e+31,9999000.0
2014-02-13T23:52:55.742Z,0.760573,13138.234
2014-02-13T23:52:58.781Z,0.794333,16252.167
2014-02-13T23:57:51.304Z,0.818608,13138.234
2014-02-14T00:00:04.651Z,-1.00000e+31,9999000.0
2014-02-14T00:02:55.249Z,0.865639,13714.067
2014-02-14T00:04:29.153Z,0.833434,15534.667
2014-02-14T00:06:07.675Z,0.855655,15534.501
2014-02-14T00:07:40.040Z,0.837429,15534.668
2014-02-14T00:09:20.958Z,0.854512,13138.101
2014-02-14T00:10:57.084Z,0.804689,15534.668
